address,id,latitude,longitude,city,name,zip code,Drive-Thru,Bagels in the Bou,Order Ahead,WiFi,Nitro on Tap,Catering,Walk-Up Window
"11210 Wayzata Boulevard Minnetonka, MN",8865480,44.97359085083008,-93.42183685302734,Minnetonka,West Ridge Plaza,55305,0,1,1,1,0,0,0
"11400 Highway 7 Minnetonka, MN",8865730,44.9339485168457,-93.4258804321289,Minnetonka,Lunds & Byerlys - Hwy 7 Minnetonka,55343,0,0,0,0,0,0,0
"1601 Highway 7 Hopkins, MN",8865497,44.93369674682617,-93.42017364501953,Hopkins,Hopkins - Highway 7,55305,0,1,1,1,0,0,0
"1 General Mills Boulevard Golden Valley, MN",8865418,44.976070404052734,-93.39627838134766,Golden Valley,General Mills - Not open to the public,55426,0,1,1,0,0,0,0
"10160 6th Avenue North Plymouth, MN",8865440,44.98558807373047,-93.40972137451172,Plymouth,Plymouth - Hwy 55 and Revere,55441,0,1,1,1,0,0,0
"8208 Highway 7 St. Louis Park, MN",8865499,44.9368782043457,-93.38369750976562,St. Louis Park,Knollwood Mall,55426,0,1,1,1,0,0,0
"1151 East Wayzata Boulevard Wayzata, MN",8865711,44.97242736816406,-93.50025939941406,Wayzata,Lunds & Byerlys - Wayzata,55391,0,0,0,0,0,0,0
"16393 County Road 30 Maple Grove, MN",8865674,45.12542724609375,-93.48877716064453,Maple Grove,Dunkirk Square Bruegger's Co-Brand,55311,0,0,0,0,0,0,0
"8073 Wedgewood Lane North Maple Grove, MN",8865438,45.10105514526367,-93.45048522949219,Maple Grove,Wedgewood,55369,0,1,1,1,0,0,0
"12880 Elm Creek Boulevard Maple Grove, MN",8865677,45.096500396728516,-93.44425964355469,Maple Grove,Lunds & Byerlys - Maple Grove,55369,0,0,0,1,0,0,0
"11627 Fountains Drive Maple Grove, MN",8865428,45.09303665161133,-93.42736053466797,Maple Grove,Arbor Lakes,55369,0,1,1,1,0,0,0
"13384 Bass Lake Road Maple Grove, MN",8865681,45.06880187988281,-93.44977569580078,Maple Grove,Bass Lake & 494 with Bruegger's Bagels,55311,1,0,0,1,0,0,0
"12850 Bass Lake Road Maple Grove, MN",8865444,45.06602096557617,-93.44256591796875,Maple Grove,Bass Lake Road & Sycamore Lane,55369,0,1,1,1,0,0,0
"8881 Jefferson Highway Osseo, MN",8865437,45.11491012573242,-93.40296936035156,Osseo,Osseo - Jefferson Hwy,55369,1,1,1,1,1,0,0
"325 Clydesdale Trail Medina, MN",8865435,45.04470443725586,-93.53128051757812,Medina,Clydesdale Marketplace,55340,1,1,1,1,0,0,0
"7635 Jolly Lane Brooklyn Park, MN",8865422,45.094120025634766,-93.38310241699219,Brooklyn Park,Brooklyn Blvd & 81,55445,0,1,1,1,0,0,0
"4130 Berkshire Lane Plymouth, MN",8865425,45.030155181884766,-93.45549774169922,Plymouth,Rockford Road,55446,0,1,1,1,0,0,0
"1400 Babcock Boulevard Delano, MN",8865682,45.03703308105469,-93.76848602294922,Delano,Coborn's - Delano,55328,0,0,0,1,0,0,0
"5401 Shoreline Drive Mound, MN",8865473,44.93610382080078,-93.66093444824219,Mound,Mound - Shoreline Drive,55364,1,1,1,0,0,0,0
